origin_crs,dest_crs,single_fare_gbp,ticket_code
BSC,LON,92.8,SDS
AST,LON,92.8,SDS
TAB,LON,92.8,SDS
WTT,LON,92.8,SDS
CAO,LON,95.9,SDS
LAW,LON,95.9,SDS
BWN,LON,95.9,SDS
HGG,LON,4.5,SDS
HGG,SRA,7.0,SDS
HOX,LON,4.5,SDS
HOX,SRA,7.0,SDS
SDC,LON,4.5,SDS
SDC,SRA,7.0,SDS
COV,LON,89.0,SOS
HIA,LON,92.8,SDS
MGN,LON,92.8,SDS
THL,LON,92.8,SDS
ADD,LON,92.8,SDS
ROE,LON,4.5,SDS
ROE,SRA,7.0,SDS
DUD,LON,92.8,SDS
ERD,LON,92.8,SDS
FOK,LON,95.9,SDS
SCF,LON,92.8,SDS
SUT,LON,92.8,SDS
BKW,LON,92.8,SDS
WNE,LON,95.9,SDS
LBK,LON,45.7,SDS
NMP,LON,45.7,SDS
NMP,VIC,47.3,SDS
NMP,WAT,47.3,SDS
NUN,EUS,60.0,SDS
NUN,LON,89.0,SOS
SDE,LON,4.5,SDS
SDE,SRA,7.0,SDS
SQE,LON,4.5,SDS
SQE,SRA,7.0,SDS
WPE,LON,4.5,SDS
WPE,SRA,7.0,SDS
RUG,LON,78.5,SOS
RUG,VIC,72.9,SOS
RUG,WAT,72.9,SOS
AVP,LON,23.4,SDS
BTG,LON,95.9,SDS
JEQ,LON,92.8,SDS
SLY,LON,92.8,SDS
KNN,LON,92.8,SDS
LOB,LON,92.8,SDS
NFD,LON,92.8,SDS
BRV,LON,92.8,SDS
SGB,LON,92.8,SDS
WTO,LON,95.9,SDS
PRI,LON,138.7,SDS
PRY,LON,92.8,SDS
CNL,LON,92.8,SDS
CRD,LON,92.8,SDS
GVH,LON,92.8,SDS
LEH,LON,92.8,SDS
RGT,LON,95.9,SDS
WYL,LON,92.8,SDS
BLX,LON,95.9,SDS
CSY,LON,95.9,SDS
HSD,LON,92.8,SDS
HNF,LON,95.9,SDS
SAD,LON,92.8,SDS
SMR,LON,92.8,SDS
TIP,LON,95.9,SDS
BEH,LON,89.5,SOS
BKT,LON,95.9,SDS
LIC,LON,95.9,SDS
SEN,LON,95.9,SDS
BUL,LON,95.9,SDS
ALV,LON,95.9,SDS
RDC,LON,95.9,SDS
DDP,LON,92.8,SDS
BHI,LON,92.8,SDS
WSL,LON,92.8,SDS
WVH,LON,95.9,SDS
CNG,LON,182.5,SOS
CRE,EUS,69.0,SDS
CRE,LON,148.5,SOS
STA,LON,123.0,SOS
LTV,LON,95.9,SDS
SOT,LON,160.0,SOS
TAM,LON,101.0,SOS
BGV,LON,7.0,SDS
BGV,SRA,7.0,SDS
UTT,LON,135.5,SOS
BLY,LON,25.5,SDS
WOL,LON,33.5,SDS
CED,LON,16.6,SDS
LBZ,LON,20.9,SDS
FEN,LON,28.5,SDS
MKC,EUS,25.3,SDS
MKC,LON,25.9,SDS
MKC,VIC,33.9,SDS
MKC,WAT,33.9,SDS
APG,LON,30.6,SDS
BWB,LON,30.6,SDS
KMH,LON,30.6,SDS
SWR,LON,30.6,SDS
BKM,LON,14.9,SDS
HML,LON,14.0,SDS
KGL,LON,12.3,SDS
KGL,SRA,14.8,SDS
TRI,LON,16.1,SDS
BSH,EUS,9.9,SDS
BSH,SRA,9.9,SDS
HRW,EUS,7.0,SDS
HRW,SRA,7.0,SDS
HRW,VIC,8.5,SDS
HRW,WAT,8.5,SDS
HTE,EUS,7.0,SDS
HTE,SRA,7.0,SDS
HTE,VIC,9.4,SDS
HTE,WAT,9.4,SDS
KNT,EUS,7.0,SDS
KNT,SRA,7.0,SDS
KNT,VIC,7.0,SDS
KNT,WAT,7.0,SDS
